PartcipantID:IF
InitialTimeStamp:16-43-06-739
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;66
1;1;11;5082
1;1;2;10128
1;1;21;11127
1;1;3;11142
1;2;1;15200
1;2;11;20199
1;2;2;25226
1;2;21;28190
1;2;3;28210
1;3;1;32267
1;3;11;37266
1;3;2;42309
1;3;21;42972
1;3;3;42994
1;4;1;47052
1;4;11;52049
1;4;2;57095
1;4;21;57839
1;4;3;57861
1;5;1;61920
1;5;11;66917
1;5;2;71945
1;5;21;72774
1;5;3;72795
1;6;1;76853
1;6;11;81849
