PartcipantID:dd
InitialTimeStamp:11-53-36-321
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;44
1;1;11;16130
1;1;2;1178309
1;1;21;1181397
1;1;3;1181417
1;2;1;1185491
1;2;11;1190556
1;2;2;1249043
1;2;21;1252121
1;2;3;1252141
1;3;1;1256253
1;3;11;1261825
1;3;2;1294870
1;3;21;1297932
1;3;3;1297953
1;4;1;1302035
1;4;11;1307661
1;4;2;1335409
1;4;21;1338471
1;4;3;1338491
1;5;1;1342592
1;5;11;1347660
1;5;2;12426413
