PartcipantID:dddd
InitialTimeStamp:15-23-54-888
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;56
1;1;11;5186
1;1;2;10230
1;1;3;13381
1;2;1;17535
1;2;11;31165
1;2;2;36200
1;2;3;39380
1;3;1;43511
1;3;11;48651
1;3;2;53686
1;3;3;56859
1;4;1;61029
1;4;11;66172
1;4;2;71205
1;4;3;74355
1;5;1;78515
1;5;11;83672
1;5;2;88716
1;5;21;91874
1;5;3;91911
1;6;1;96051
1;6;11;101174
1;6;2;106228
1;6;21;109376
1;6;3;109411
1;7;1;113552
