PartcipantID:hades
Instance;c;p;w;v;id;type;sol
1;31;38;15,10,10,6,7,12;10,11,16,5,7,10;97-0.36-0.52;1;0
2;46;44;17,18,9,14,15,15;14,11,14,5,14,10;93-0.4-0.56;1;0
3;43;43;19,8,19,11,14,9;18,13,16,7,8,5;18-0.4-0.52;1;0
4;46;44;17,18,9,14,15,15;14,11,14,5,14,10;93-0.4-0.56;1;0
5;46;55;14,18,13,16,17,10;12,12,12,16,16,14;52-0.4-0.6;1;0
6;46;46;17,18,9,14,15,15;14,11,14,5,14,10;93-0.4-0.6;1;0
7;35;46;17,6,6,17,5,16;12,5,19,14,15,6;0-0.36-0.52;2;1
8;35;34;8,5,15,14,5,17;9,7,10,6,5,15;58-0.4-0.52;2;1
9;36;60;11,6,6,18,11,18;17,13,18,12,18,15;12-0.36-0.56;2;1
10;35;52;9,8,6,16,7,19;15,10,16,17,14,9;13-0.36-0.56;2;1
11;40;52;7,18,10,17,16,6;18,16,17,12,6,11;14-0.4-0.56;2;1
12;38;31;10,18,11,15,8,7;7,5,5,5,15,10;34-0.4-0.52;2;1
13;51;39;18,10,14,19,16,15;15,15,8,7,5,9;84-0.44-0.56;3;0
14;43;46;9,15,14,14,14,13;9,15,10,9,8,18;31-0.44-0.56;3;0
15;48;40;13,14,7,18,16,19;14,6,13,8,7,13;38-0.44-0.56;3;0
16;47;41;14,14,13,17,15,18;12,6,17,11,10,5;99-0.4-0.56;3;0
17;36;44;5,18,6,9,18,9;9,13,15,12,10,8;4-0.4-0.56;3;0
18;35;45;6,8,14,10,11,16;6,7,19,7,9,19;57-0.4-0.56;3;0
19;37;48;11,10,13,15,6,15;6,16,7,18,15,10;89-0.4-0.56;4;1
20;31;43;9,6,5,9,14,14;5,6,18,13,10,15;95-0.4-0.52;4;1
21;41;37;17,18,10,10,7,15;5,16,14,11,6,5;44-0.4-0.52;4;1
22;44;42;12,13,17,16,16,6;5,11,6,19,6,18;65-0.44-0.52;4;1
23;39;44;9,17,17,13,7,11;17,5,18,7,7,11;68-0.4-0.56;4;1
24;42;44;12,13,17,16,16,6;5,11,6,19,6,18;65-0.4-0.56;4;1
25;46;57;13,14,7,18,16,19;14,6,13,8,7,13;38-0.4-0.92;5;0
26;38;73;12,17,18,9,6,7;16,13,12,9,17,11;11-0.4-0.92;5;0
27;30;57;8,12,11,5,12,9;17,7,9,6,11,11;26-0.4-0.92;5;0
28;38;56;9,11,10,9,19,14;11,17,8,5,10,9;47-0.36-0.92;5;0
29;48;55;18,10,14,19,16,15;15,15,8,7,5,9;84-0.4-0.92;5;0
30;43;64;15,14,19,11,11,10;16,12,5,7,15,14;85-0.4-0.92;5;0
31;42;29;15,10,7,19,12,15;14,8,13,14,17,12;28-0.4-0.2;6;1
32;35;37;9,6,6,14,11,19;18,19,18,16,14,10;86-0.36-0.24;6;1
33;51;22;18,10,14,19,16,15;15,15,8,7,5,9;84-0.44-0.16;6;1
34;46;26;17,18,9,14,15,15;14,11,14,5,14,10;93-0.4-0.24;6;1
35;43;34;17,16,11,18,7,13;13,17,18,10,16,14;39-0.4-0.24;6;1
36;47;31;10,18,8,18,18,14;19,14,7,19,8,12;61-0.44-0.2;6;1
