PartcipantID:hades
InitialTimeStamp:19-20-13-546
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;40
1;1;11;5108
1;1;2;10140
1;1;3;13258
1;2;1;24973
1;2;11;44625
1;2;2;49666
1;2;3;52752
1;3;1;56860
1;3;11;61930
1;3;2;66965
1;3;3;70045
1;4;1;74197
1;4;11;79264
1;4;2;84298
1;4;3;87378
1;5;1;91479
1;5;11;201655
1;5;2;206687
1;5;3;209790
1;6;1;213914
1;6;11;219003
1;6;2;224035
1;6;3;227123
1;7;1;231219
1;7;11;236307
1;7;2;241341
1;7;3;244429
1;8;1;248510
1;8;11;253591
1;8;2;258626
1;8;3;261729
1;9;1;265827
1;9;11;270897
1;9;2;275930
1;9;3;279015
1;10;1;283172
1;10;11;288258
1;10;2;293288
1;10;3;296381
1;11;1;300535
1;11;11;305648
1;11;2;310682
1;11;3;313767
1;12;1;317927
1;12;11;323012
1;12;2;328057
1;12;3;331167
2;0;4;335341
2;1;1;340436
2;1;11;345519
2;1;2;350550
2;1;3;353644
2;2;1;357809
2;2;11;362883
2;2;2;367919
2;2;3;371002
2;3;1;375152
2;3;11;380215
2;3;2;385258
2;3;3;388351
2;4;1;392507
2;4;11;397578
2;4;2;402621
2;4;3;405719
2;5;1;409852
2;5;11;414917
2;5;2;419947
2;5;3;423035
2;6;1;427154
2;6;11;432255
2;6;2;437300
2;6;3;440407
2;7;1;444572
2;7;11;449655
2;7;2;454689
2;7;3;457774
2;8;1;461936
2;8;11;467018
2;8;2;472058
2;8;3;475145
2;9;1;479260
2;9;11;484310
2;9;2;489344
2;9;3;492428
2;10;1;496516
2;10;11;501608
2;10;2;506650
2;10;3;525301
2;11;1;529436
2;11;11;534515
2;11;2;539549
2;11;3;542664
2;12;1;546842
2;12;11;551907
2;12;2;556951
2;12;3;560037
3;0;4;564210
3;1;1;566534
3;1;11;604390
3;1;2;609423
3;1;3;612526
