PartcipantID:hades
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;2;0;10;1;23;(6,4.5)(0.5,3.5)(4,6)(7.5,0.5)(2.5,1)(8,6);
1;1;3;0;10;-1;23;(6,4.5)(0.5,3.5)(4,6)(7.5,0.5)(2.5,1)(8,6);Pause
1;2;2;0;10;0;14;(6.5,4.5)(1,1.5)(7,2.5)(6.5,0.5)(2,6)(4,0.5);
1;3;2;0;10;1;2;(2,1)(1,4.5)(8,2.5)(5.5,1)(8,0.5)(5.5,5.5);
1;4;2;0;10;0;25;(0,3)(2.5,6)(7.5,1.5)(8,4)(5.5,0.5)(2,1);
1;5;2;0;10;0;7;(1,3.5)(7.5,1)(7.5,4)(4,6)(1,6)(5,0.5);
1;6;2;0;10;1;36;(7.5,4)(8,1.5)(1.5,1.5)(5,0.5)(3.5,6)(1.5,4);
1;7;2;0;10;1;32;(1,1.5)(6.5,1.5)(3,0.5)(6.5,5)(0,6)(3.5,6);
1;8;2;0;10;0;12;(1.5,0.5)(7.5,5.5)(1,3)(2,6)(8,3)(8,0.5);
1;9;2;0;10;0;30;(1,3.5)(8,1.5)(5.5,1)(7.5,4)(1.5,6)(4,5.5);
1;10;2;0;10;1;6;(1.5,3.5)(7,3)(1,1)(3.5,0.5)(7.5,0.5)(7,6);
1;11;2;0;10;0;22;(6.5,0.5)(6.5,3.5)(1.5,3)(0.5,5.5)(4,0.5)(8,5.5);
1;12;2;0;10;1;16;(0.5,1.5)(6.5,4.5)(7.5,1.5)(0.5,4.5)(5.5,0.5)(4,6);
2;1;2;0;10;1;19;(6.5,1.5)(2.5,1)(1,4.5)(6.5,5)(4,6)(4.5,0.5);
2;2;2;0;10;1;33;(6,5.5)(7.5,3)(7.5,0.5)(3.5,0.5)(5.5,1)(1,3.5);
2;3;2;0;10;1;27;(3.5,0.5)(0.5,1)(7.5,5.5)(7,2)(0.5,5)(2.5,6);
2;4;2;0;10;1;5;(1.5,4)(1,2)(8,1.5)(6.5,4)(5,0.5)(3.5,6);
2;5;2;0;10;0;26;(6.5,3)(2,1)(0,6)(8,0.5)(2,5)(5,0.5);
2;6;2;0;10;0;11;(8,4.5)(0.5,1)(6,1.5)(8,0.5)(1.5,3.5)(2.5,6);
2;7;2;0;10;1;31;(0.5,5.5)(1,1.5)(3,5.5)(6,5.5)(4,0.5)(8,2.5);
2;8;2;0;10;0;21;(0.5,6)(7,0.5)(8,4.5)(4,6)(1,0.5)(6,4);
2;9;2;0;10;0;4;(0.5,4)(4,0.5)(7.5,2)(7.5,6)(6.5,4)(3.5,5.5);
2;10;2;0;10;1;10;(5.5,5.5)(1,5)(5,0.5)(7.5,6)(1,2)(7.5,2);
2;11;2;0;10;0;13;(0,2.5)(7,4)(7,1.5)(2.5,0.5)(4,6)(0,6);
2;12;2;0;10;0;18;(7,3.5)(0,4)(4,0.5)(1.5,2)(1.5,6)(7,1.5);
3;0;3;0;10;-1;18;(7,3.5)(0,4)(4,0.5)(1.5,2)(1.5,6)(7,1.5);Pause
3;1;2;0;10;0;1;(1.5,1.5)(1,5.5)(7.5,6)(8,1)(7.5,3.5)(6,1);
