PartcipantID:hgfhg
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;2;0;10;0;23;(7.5,5)(5.5,0.5)(7.5,2)(1,3.5)(0,5.5)(3.5,0.5);
1;1;3;0;10;-1;23;(7.5,5)(5.5,0.5)(7.5,2)(1,3.5)(0,5.5)(3.5,0.5);Pause
1;2;3;0;10;-1;14;(0,5.5)(6.5,5.5)(8,2.5)(1.5,1.5)(1,4)(2.5,5.5);Pause
1;3;3;0;10;-1;2;(8,6)(6.5,3.5)(0,2)(5,1)(8,0.5)(0,6);Pause
1;4;3;0;10;-1;25;(8,0.5)(5.5,0.5)(2.5,6)(0,1.5)(7.5,4)(0,5.5);Pause
1;5;3;0;10;-1;7;(1.5,2.5)(5,0.5)(5.5,6)(8,5.5)(7,2)(1,6);Pause
1;6;3;0;10;-1;36;(6.5,1.5)(8,5)(0.5,6)(1,1.5)(4,6)(3.5,0.5);Pause
1;7;3;0;10;-1;32;(0,2.5)(5.5,5.5)(7.5,2.5)(2,5.5)(0,5.5)(7.5,5);Pause
1;8;3;0;10;-1;12;(1.5,5.5)(7.5,6)(8,0.5)(0,2)(4.5,0.5)(7.5,2.5);Pause
1;9;3;0;10;-1;30;(5.5,0.5)(6,6)(0.5,4)(0.5,0.5)(7,3.5)(3.5,5.5);Pause
1;10;3;0;10;-1;6;(3,0.5)(0.5,6)(7,1)(0.5,0.5)(6,5)(1,2.5);Pause
1;11;3;0;10;-1;22;(7.5,6)(0.5,3)(7.5,3.5)(1,0.5)(7.5,0.5)(3.5,6);Pause
1;12;3;0;10;-1;16;(2.5,0.5)(7,1.5)(6,4.5)(1.5,3.5)(0,6)(0.5,0.5);Pause
