PartcipantID:sdsa
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;0;0;3.010625;0;23;(8,0.5)(7.5,3)(2,0.5)(7.5,5)(2,5)(0,4.5);
1;2;3;0;10;-1;14;(2,4.5)(6.5,3.5)(0,1)(5.5,1)(7.5,1.5)(2.5,0.5);Pause
1;3;3;0;10;-1;2;(7.5,6)(0.5,4)(8,3)(1,1)(3,0.5)(4,6);Pause
1;4;3;0;10;-1;25;(6.5,6)(2.5,6)(7,2)(0.5,3)(1.5,0.5)(4.5,0.5);Pause
1;5;3;0;10;-1;7;(7,4)(5,1)(1.5,4.5)(0,1.5)(2,0.5)(8,1.5);Pause
1;6;3;0;10;-1;36;(6,0.5)(0.5,5.5)(0,2)(8,4.5)(5,6)(3.5,0.5);Pause
1;7;3;0;10;-1;32;(0.5,5.5)(7,6)(6.5,3.5)(0,1.5)(4.5,0.5)(2,1);Pause
1;8;3;0;10;-1;12;(0,3.5)(8,4.5)(1,0.5)(6.5,0.5)(1,5.5)(5.5,5.5);Pause
1;9;3;0;10;-1;30;(7.5,5.5)(0.5,0.5)(7,2.5)(0,4)(2,4.5)(3,0.5);Pause
1;10;3;0;10;-1;6;(2,6)(2,0.5)(7,4.5)(8,1)(5,6)(0,2.5);Pause
1;11;3;0;10;-1;22;(1.5,6)(6.5,4)(6,0.5)(0.5,3.5)(8,1)(0.5,1);Pause
1;12;3;0;10;-1;16;(0.5,5.5)(0.5,3)(3,5.5)(8,3)(8,5.5)(6,1.5);Pause
